Email,First usage,Last usage,Account id,Account name
21102728,2013-01-30,2013-01-30,4322,4322
21102981,2013-01-30,2013-05-27,4322,4322
21102991,2013-01-30,2013-05-09,4322,4322
21103050,2013-02-04,2013-04-02,4322,4322
21103930,2013-02-02,2013-09-24,4322,4322
21103931,2013-02-01,2013-03-07,4322,4322
21106567,2013-02-04,2013-09-23,4322,4322
21128150,2013-02-27,2013-09-25,4322,4322
21139973,2013-03-15,2013-09-25,4322,4322
21178873,2013-06-12,2013-09-24,4322,4322
2857728,2012-10-01,2013-09-25,4322,4322
3858371,2012-09-27,2013-01-29,4322,4322
3858375,2012-09-05,2012-12-12,4322,4322
3858380,2012-09-26,2012-12-12,4322,4322
3858384,2012-12-07,2012-12-07,4322,4322
3858389,2012-10-17,2012-12-12,4322,4322
3858394,2012-09-19,2012-11-01,4322,4322
3858397,2012-09-06,2012-12-05,4322,4322
3858399,2012-09-05,2012-09-05,4322,4322
allit,2013-06-07,2013-09-16,4322,4322
itechsoft,2013-09-17,2013-09-25,4322,4322
21020528,2012-10-30,2013-05-29,4323,4323
21065093,2012-12-19,2013-09-25,4323,4323
21135067,2013-03-05,2013-09-25,4323,4323
21179039,2013-08-12,2013-08-12,4323,4323
21264506,2013-07-02,2013-09-25,4323,4323
2857736,2012-09-06,2013-09-25,4323,4323
2927980,2012-09-03,2013-09-24,4323,4323
2928001,2012-09-03,2012-10-30,4323,4323
2928007,2012-09-04,2013-09-15,4323,4323
2928013,2012-09-04,2013-09-18,4323,4323
2928020,2012-09-03,2013-05-20,4323,4323
2928033,2012-09-03,2013-09-25,4323,4323
2928041,2012-09-03,2013-09-24,4323,4323
2928045,2012-09-03,2012-12-05,4323,4323
2928052,2012-09-08,2013-05-31,4323,4323
2928057,2012-09-06,2013-03-17,4323,4323
3039092,2012-09-14,2013-09-25,4323,4323
6267041,2012-09-03,2012-12-19,4323,4323
6267122,2012-09-04,2013-02-01,4323,4323
ntbit,2013-06-07,2013-09-25,4323,4323
21420290,2013-09-16,2013-09-16,162507,162507
21420300,2013-09-16,2013-09-25,162507,162507
21420301,2013-09-19,2013-09-19,162507,162507
thatlittleshop,2013-09-20,2013-09-25,162507,162507
21423359,2013-09-19,2013-09-25,162624,162624
21423362,2013-09-19,2013-09-24,162624,162624
rendezvous,2013-09-20,2013-09-20,162624,162624
10233845,2012-09-13,2012-09-13,4324,4324
20819113,2012-09-12,2013-09-25,4324,4324
20819117,2012-09-12,2013-03-27,4324,4324
20822103,2012-09-13,2013-08-28,4324,4324
21134107,2013-03-05,2013-09-12,4324,4324
21179031,2013-08-30,2013-09-24,4324,4324
21235415,2013-06-08,2013-09-25,4324,4324
21265112,2013-07-02,2013-09-25,4324,4324
21305714,2013-07-29,2013-09-25,4324,4324
21305716,2013-07-29,2013-09-25,4324,4324
21323927,2013-08-02,2013-09-24,4324,4324
21323938,2013-08-02,2013-09-25,4324,4324
21323939,2013-08-02,2013-09-25,4324,4324
21323943,2013-08-02,2013-09-24,4324,4324
